dato,skole,elevdag,sfodag,kommentar
2017-05-10,Solås skole,Ja,Ja,
2017-05-11,Solås skole,Ja,Ja,
2017-05-12,Solås skole,Ja,Ja,
2017-05-13,Solås skole,Nei,Nei,Lørdag
2017-05-14,Solås skole,Nei,Nei,Søndag
2017-05-15,Solås skole,Ja,Ja,
2017-05-16,Solås skole,Ja,Ja,
2017-05-17,Solås skole,Nei,Nei,Grunnlovsdag 
2017-05-18,Solås skole,Ja,Ja,
2017-05-19,Solås skole,Ja,Ja,
2017-05-20,Solås skole,Nei,Nei,Lørdag
2017-05-21,Solås skole,Nei,Nei,Søndag
2017-05-22,Solås skole,Ja,Ja,
2017-05-23,Solås skole,Ja,Ja,
2017-05-24,Solås skole,Ja,ja,
2017-05-25,Solås skole,Nei,Nei,Kr.H.f
2017-05-26,Solås skole,Nei,Ja,
2017-05-27,Solås skole,Nei,Nei,Lørdag
2017-05-28,Solås skole,Nei,Nei,Søndag
2017-05-29,Solås skole,Ja,Ja,
2017-05-30,Solås skole,Ja,Ja,
2017-05-31,Solås skole,Ja,Ja,
2017-06-01,Solås skole,Ja,Ja,
2017-06-02,Solås skole,Ja,Ja,
2017-06-03,Solås skole,Nei,Nei,Lørdag
2017-06-04,Solås skole,Nei,Nei,Søndag
2017-06-05,Solås skole,Nei,Nei,2.pinsedag 
2017-06-06,Solås skole,Ja,Ja,
2017-06-07,Solås skole,Ja,Ja,
2017-06-08,Solås skole,Ja,Ja,
2017-06-09,Solås skole,Ja,Ja,
2017-06-10,Solås skole,Nei,Nei,Lørdag
2017-06-11,Solås skole,Nei,Nei,Søndag
2017-06-12,Solås skole,Ja,Ja,
2017-06-13,Solås skole,Ja,Ja,
2017-06-14,Solås skole,Ja,Ja,
2017-06-15,Solås skole,Ja,Ja,
2017-06-16,Solås skole,Ja,Ja,
2017-06-17,Solås skole,Nei,Nei,Lørdag
2017-06-18,Solås skole,Nei,Nei,Søndag
2017-06-19,Solås skole,Ja,Ja,
2017-06-20,Solås skole,Ja,Ja,
2017-06-21,Solås skole,Ja,Ja,
2017-06-22,Solås skole,Ja,Ja,Siste skoledag før sommerferien 
2017-06-23,Solås skole,Nei,Ja,Sommerferie
2017-06-24,Solås skole,Nei,Nei,Lørdag
2017-06-25,Solås skole,Nei,Nei,Søndag
2017-06-26,Solås skole,Nei,Ja,Sommerferie
2017-06-27,Solås skole,Nei,Ja,Sommerferie
2017-06-28,Solås skole,Nei,Ja,Sommerferie
2017-06-29,Solås skole,Nei,Ja,Sommerferie
2017-06-30,Solås skole,Nei,Ja,Sommerferie
2017-07-01,Solås skole,Nei,Nei,Lørdag
2017-07-02,Solås skole,Nei,Nei,Søndag
2017-07-03,Solås skole,Nei,Nei,Sommerferie
2017-07-04,Solås skole,Nei,Nei,Sommerferie
2017-07-05,Solås skole,Nei,Nei,Sommerferie
2017-07-06,Solås skole,Nei,Nei,Sommerferie
2017-07-07,Solås skole,Nei,Nei,Sommerferie
2017-07-08,Solås skole,Nei,Nei,Lørdag
2017-07-09,Solås skole,Nei,Nei,Søndag
2017-07-10,Solås skole,Nei,Nei,Sommerferie
2017-07-11,Solås skole,Nei,Nei,Sommerferie
2017-07-12,Solås skole,Nei,Nei,Sommerferie
2017-07-13,Solås skole,Nei,Nei,Sommerferie
2017-07-14,Solås skole,Nei,Nei,Sommerferie
2017-07-15,Solås skole,Nei,Nei,Lørdag
2017-07-16,Solås skole,Nei,Nei,Søndag
2017-07-17,Solås skole,Nei,Nei,Sommerferie
2017-07-18,Solås skole,Nei,Nei,Sommerferie
2017-07-19,Solås skole,Nei,Nei,Sommerferie
2017-07-20,Solås skole,Nei,Nei,Sommerferie
2017-07-21,Solås skole,Nei,Nei,Sommerferie
2017-07-22,Solås skole,Nei,Nei,Lørdag
2017-07-23,Solås skole,Nei,Nei,Søndag
2017-07-24,Solås skole,Nei,Nei,Sommerferie
2017-07-25,Solås skole,Nei,Nei,Sommerferie
2017-07-26,Solås skole,Nei,Nei,Sommerferie
2017-07-27,Solås skole,Nei,Nei,Sommerferie
2017-07-28,Solås skole,Nei,Nei,Sommerferie
2017-07-29,Solås skole,Nei,Nei,Lørdag
2017-07-30,Solås skole,Nei,Nei,Søndag
2017-07-31,Solås skole,Nei,Nei,Sommerferie
2016-06-01,Ålgård skole,Ja,Ja,
2016-06-02,Ålgård skole,Ja,Ja,
2016-06-03,Ålgård skole,Ja,Ja,
2016-06-04,Ålgård skole,Nei,Nei,Lørdag
2016-06-05,Ålgård skole,Nei,Nei,Søndag
2016-06-06,Ålgård skole,Ja,Ja,
2016-06-07,Ålgård skole,Ja,Ja,
2016-06-08,Ålgård skole,Ja,Ja,
2016-06-09,Ålgård skole,Ja,Ja,
2016-06-10,Ålgård skole,Ja,Ja,
2016-06-11,Ålgård skole,Nei,Nei,Lørdag
2016-06-12,Ålgård skole,Nei,Nei,Søndag
2016-06-13,Ålgård skole,Ja,Ja,
2016-06-14,Ålgård skole,Ja,Ja,
2016-06-15,Ålgård skole,Ja,Ja,
2016-06-16,Ålgård skole,Ja,Ja,
2016-06-17,Ålgård skole,Ja,Ja,
2016-06-18,Ålgård skole,Nei,Nei,Lørdag
2016-06-19,Ålgård skole,Nei,Nei,Søndag
2016-06-20,Ålgård skole,Ja,Ja,
2016-06-21,Ålgård skole,Ja,Ja,
2016-06-22,Ålgård skole,Ja,Ja,Siste skoledag før sommerferien 
2016-06-23,Ålgård skole,Nei,Ja,Sommerferie 
2016-06-24,Ålgård skole,Nei,Ja,Sommerferie 
2016-06-25,Ålgård skole,Nei,Nei,Lørdag
2016-06-26,Ålgård skole,Nei,Nei,Søndag
2016-06-27,Ålgård skole,Nei,Ja,Sommerferie 
2016-06-28,Ålgård skole,Nei,Ja,Sommerferie 
2016-06-29,Ålgård skole,Nei,Ja,Sommerferie 
2016-06-30,Ålgård skole,Nei,Ja,Sommerferie 
2016-07-01,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-02,Ålgård skole,Nei,Nei,Lørdag
2016-07-03,Ålgård skole,Nei,Nei,Søndag
2016-07-04,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-05,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-06,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-07,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-08,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-09,Ålgård skole,Nei,Nei,Lørdag
2016-07-10,Ålgård skole,Nei,Nei,Søndag
2016-07-11,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-12,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-13,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-14,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-15,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-16,Ålgård skole,Nei,Nei,Lørdag
2016-07-17,Ålgård skole,Nei,Nei,Søndag
2016-07-18,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-19,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-20,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-21,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-22,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-23,Ålgård skole,Nei,Nei,Lørdag
2016-07-24,Ålgård skole,Nei,Nei,Søndag
2016-07-25,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-26,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-27,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-28,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-29,Ålgård skole,Nei,Nei,Sommerferie 
2016-07-30,Ålgård skole,Nei,Nei,Lørdag
2016-07-31,Ålgård skole,Nei,Nei,Søndag
2016-08-01,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-02,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-03,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-04,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-05,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-06,Ålgård skole,Nei,Nei,Lørdag
2016-08-07,Ålgård skole,Nei,Nei,Søndag
2016-08-08,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-09,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-10,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-11,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-12,Ålgård skole,Nei,Ja,Sommerferie 
2016-08-13,Ålgård skole,Nei,Nei,Lørdag
2016-08-14,Ålgård skole,Nei,Nei,Søndag
2016-08-15,Ålgård skole,Nei,Nei,Planleggingsdag skole & SFO
2016-08-16,Ålgård skole,Nei,Nei,Planleggingsdag Skole & SFO
2016-08-17,Ålgård skole,Ja,Ja,
2016-08-18,Ålgård skole,Ja,Ja,
2016-08-19,Ålgård skole,Ja,Ja,
2016-08-20,Ålgård skole,Nei,Nei,Lørdag
2016-08-21,Ålgård skole,Nei,Nei,Søndag
2016-08-22,Ålgård skole,Ja,Ja,
2016-08-23,Ålgård skole,Ja,Ja,
2016-08-24,Ålgård skole,Ja,Ja,
2016-08-25,Ålgård skole,Ja,Ja,
2016-08-26,Ålgård skole,Ja,Ja,
2016-08-27,Ålgård skole,Nei,Nei,Lørdag
2016-08-28,Ålgård skole,Nei,Nei,Søndag
2016-08-29,Ålgård skole,Ja,Ja,
2016-08-30,Ålgård skole,Ja,Ja,
2016-08-31,Ålgård skole,Ja,Ja,
2016-09-01,Ålgård skole,Ja,Ja,
2016-09-02,Ålgård skole,Ja,Ja,
2016-09-03,Ålgård skole,Nei,Nei,Lørdag
2016-09-04,Ålgård skole,Nei,Nei,Søndag
2016-09-05,Ålgård skole,Ja,Ja,
2016-09-06,Ålgård skole,Ja,Ja,
2016-09-07,Ålgård skole,Ja,Ja,
2016-09-08,Ålgård skole,Ja,Ja,
2016-09-09,Ålgård skole,Ja,Ja,
2016-09-10,Ålgård skole,Nei,Nei,Lørdag
2016-09-11,Ålgård skole,Nei,Nei,Søndag
2016-09-12,Ålgård skole,Ja,Ja,
2016-09-13,Ålgård skole,Ja,Ja,
2016-09-14,Ålgård skole,Ja,Ja,
2016-09-15,Ålgård skole,Ja,Ja,
2016-09-16,Ålgård skole,Ja,Ja,
2016-09-17,Ålgård skole,Nei,Nei,Lørdag
2016-09-18,Ålgård skole,Nei,Nei,Søndag
2016-09-19,Ålgård skole,Ja,Ja,
2016-09-20,Ålgård skole,Ja,Ja,
2016-09-21,Ålgård skole,Ja,Ja,
2016-09-22,Ålgård skole,Ja,Ja,
2016-09-23,Ålgård skole,Ja,Ja,
2016-09-24,Ålgård skole,Nei,Nei,Lørdag
2016-09-25,Ålgård skole,Nei,Nei,Søndag
2016-09-26,Ålgård skole,Ja,Ja,
2016-09-27,Ålgård skole,Ja,Ja,
2016-09-28,Ålgård skole,Ja,Ja,
2016-09-29,Ålgård skole,Ja,Ja,
2016-09-30,Ålgård skole,Ja,Ja,
2016-10-01,Ålgård skole,Nei,Nei,Lørdag
2016-10-02,Ålgård skole,Nei,Nei,Søndag
2016-10-03,Ålgård skole,Ja,Ja,
2016-10-04,Ålgård skole,Ja,Ja,
2016-10-05,Ålgård skole,Ja,Ja,
2016-10-06,Ålgård skole,Ja,Ja,
2016-10-07,Ålgård skole,Ja,Ja,
2016-10-08,Ålgård skole,Nei,Nei,Lørdag
2016-10-09,Ålgård skole,Nei,Nei,Søndag
2016-10-10,Ålgård skole,Nei,Ja,Høstferie
2016-10-11,Ålgård skole,Nei,Ja,Høstferie
2016-10-12,Ålgård skole,Nei,Ja,Høstferie
2016-10-13,Ålgård skole,Nei,Ja,Høstferie
2016-10-14,Ålgård skole,Nei,Ja,Høstferie
2016-10-15,Ålgård skole,Nei,Nei,Lørdag
2016-10-16,Ålgård skole,Nei,Nei,Søndag
2016-10-17,Ålgård skole,Ja,Ja,
2016-10-18,Ålgård skole,Ja,Ja,
2016-10-19,Ålgård skole,Ja,Ja,
2016-10-20,Ålgård skole,Ja,Ja,
2016-10-21,Ålgård skole,Ja,Ja,
2016-10-22,Ålgård skole,Nei,Nei,Lørdag
2016-10-23,Ålgård skole,Nei,Nei,Søndag
2016-10-24,Ålgård skole,Ja,Ja,
2016-10-25,Ålgård skole,Ja,Ja,
2016-10-26,Ålgård skole,Ja,Ja,
2016-10-27,Ålgård skole,Ja,Ja,
2016-10-28,Ålgård skole,Ja,Ja,
2016-10-29,Ålgård skole,Nei,Nei,Lørdag
2016-10-30,Ålgård skole,Nei,Nei,Søndag
2016-10-31,Ålgård skole,Ja,Ja,
2016-11-01,Ålgård skole,Ja,Ja,
2016-11-02,Ålgård skole,Ja,Ja,
2016-11-03,Ålgård skole,Ja,Ja,
2016-11-04,Ålgård skole,Ja,Ja,
2016-11-05,Ålgård skole,Nei,Nei,Lørdag
2016-11-06,Ålgård skole,Nei,Nei,Søndag
2016-11-07,Ålgård skole,Ja,Ja,
2016-11-08,Ålgård skole,Ja,Ja,
2016-11-09,Ålgård skole,Ja,Ja,
2016-11-10,Ålgård skole,Ja,Ja,
2016-11-11,Ålgård skole,Ja,Ja,
2016-11-12,Ålgård skole,Nei,Nei,Lørdag
2016-11-13,Ålgård skole,Nei,Nei,Søndag
2016-11-14,Ålgård skole,Ja,Ja,
2016-11-15,Ålgård skole,Ja,Ja,
2016-11-16,Ålgård skole,Ja,Ja,
2016-11-17,Ålgård skole,Ja,Ja,
2016-11-18,Ålgård skole,Nei,Ja,Plandag 
2016-11-19,Ålgård skole,Nei,Nei,Lørdag
2016-11-20,Ålgård skole,Nei,Nei,Søndag
2016-11-21,Ålgård skole,Ja,Ja,
2016-11-22,Ålgård skole,Ja,Ja,
2016-11-23,Ålgård skole,Ja,Ja,
2016-11-24,Ålgård skole,Ja,Ja,
2016-11-25,Ålgård skole,Ja,Ja,
2016-11-26,Ålgård skole,Nei,Nei,Lørdag
2016-11-27,Ålgård skole,Nei,Nei,Søndag
2016-11-28,Ålgård skole,Ja,Ja,
2016-11-29,Ålgård skole,Ja,Ja,
2016-11-30,Ålgård skole,Ja,Ja,
2016-12-01,Ålgård skole,Ja,Ja,
2016-12-02,Ålgård skole,Ja,Ja,
2016-12-03,Ålgård skole,Nei,Nei,Lørdag
2016-12-04,Ålgård skole,Nei,Nei,Søndag
2016-12-05,Ålgård skole,Ja,Ja,
2016-12-06,Ålgård skole,Ja,Ja,
2016-12-07,Ålgård skole,Ja,Ja,
2016-12-08,Ålgård skole,Ja,Ja,
2016-12-09,Ålgård skole,Ja,Ja,
2016-12-10,Ålgård skole,Nei,Nei,Lørdag
2016-12-11,Ålgård skole,Nei,Nei,Søndag
2016-12-12,Ålgård skole,Ja,Ja,
2016-12-13,Ålgård skole,Ja,Ja,
2016-12-14,Ålgård skole,Ja,Ja,
2016-12-15,Ålgård skole,Ja,Ja,
2016-12-16,Ålgård skole,Ja,Ja,
2016-12-17,Ålgård skole,Nei,Nei,Lørdag
2016-12-18,Ålgård skole,Nei,Nei,Søndag
2016-12-19,Ålgård skole,Ja,Ja,
2016-12-20,Ålgård skole,Ja,Ja,Siste skoledag før jul 
2016-12-21,Ålgård skole,Nei,Ja,Juleferie 
2016-12-22,Ålgård skole,Nei,Ja,Juleferie 
2016-12-23,Ålgård skole,Nei,Ja,Juleferie 
2016-12-24,Ålgård skole,Nei,Nei,Lørdag
2016-12-25,Ålgård skole,Nei,Nei,Søndag
2016-12-26,Ålgård skole,Nei,Nei,2.juledag
2016-12-27,Ålgård skole,Nei,Ja,Juleferie 
2016-12-28,Ålgård skole,Nei,Ja,Juleferie 
2016-12-29,Ålgård skole,Nei,Ja,Juleferie 
2016-12-30,Ålgård skole,Nei,Ja,Juleferie 
2016-12-31,Ålgård skole,Nei,Nei,Lørdag
2017-01-01,Ålgård skole,Nei,Nei,Søndag
2017-01-02,Ålgård skole,Nei,Ja,Juleferie 
2017-01-03,Ålgård skole,Ja,Ja,
2017-01-04,Ålgård skole,Ja,Ja,
2017-01-05,Ålgård skole,Ja,Ja,
2017-01-06,Ålgård skole,Ja,Ja,
2017-01-07,Ålgård skole,Nei,Nei,Lørdag
2017-01-08,Ålgård skole,Nei,Nei,Søndag
2017-01-09,Ålgård skole,Ja,Ja,
2017-01-10,Ålgård skole,Ja,Ja,
2017-01-11,Ålgård skole,Ja,Ja,
2017-01-12,Ålgård skole,Ja,Ja,
2017-01-13,Ålgård skole,Ja,Ja,
2017-01-14,Ålgård skole,Nei,Nei,Lørdag
2017-01-15,Ålgård skole,Nei,Nei,Søndag
2017-01-16,Ålgård skole,Ja,Ja,
2017-01-17,Ålgård skole,Ja,Ja,
2017-01-18,Ålgård skole,Ja,Ja,
2017-01-19,Ålgård skole,Ja,Ja,
2017-01-20,Ålgård skole,Ja,Ja,
2017-01-21,Ålgård skole,Nei,Nei,Lørdag
2017-01-22,Ålgård skole,Nei,Nei,Søndag
2017-01-23,Ålgård skole,Ja,Ja,
2017-01-24,Ålgård skole,Ja,Ja,
2017-01-25,Ålgård skole,Ja,Ja,
2017-01-26,Ålgård skole,Ja,Ja,
2017-01-27,Ålgård skole,Ja,Ja,
2017-01-28,Ålgård skole,Nei,Nei,Lørdag
2017-01-29,Ålgård skole,Nei,Nei,Søndag
2017-01-30,Ålgård skole,Ja,Ja,
2017-01-31,Ålgård skole,Ja,Ja,
2017-02-01,Ålgård skole,Ja,Ja,
2017-02-02,Ålgård skole,Ja,Ja,
2017-02-03,Ålgård skole,Ja,Ja,
2017-02-04,Ålgård skole,Nei,Nei,Lørdag
2017-02-05,Ålgård skole,Nei,Nei,Søndag
2017-02-06,Ålgård skole,Ja,Ja,
2017-02-07,Ålgård skole,Ja,Ja,
2017-02-08,Ålgård skole,Ja,Ja,
2017-02-09,Ålgård skole,Ja,Ja,
2017-02-10,Ålgård skole,Ja,Ja,
2017-02-11,Ålgård skole,Nei,Nei,Lørdag
2017-02-12,Ålgård skole,Nei,Nei,Søndag
2017-02-13,Ålgård skole,Ja,Ja,
2017-02-14,Ålgård skole,Ja,Ja,
2017-02-15,Ålgård skole,Ja,Ja,
2017-02-16,Ålgård skole,Ja,Ja,
2017-02-17,Ålgård skole,Ja,Ja,
2017-02-18,Ålgård skole,Nei,Nei,Lørdag
2017-02-19,Ålgård skole,Nei,Nei,Søndag
2017-02-20,Ålgård skole,Ja,Ja,
2017-02-21,Ålgård skole,Ja,Ja,
2017-02-22,Ålgård skole,Ja,Ja,
2017-02-23,Ålgård skole,Ja,Ja,
2017-02-24,Ålgård skole,Ja,Ja,
2017-02-25,Ålgård skole,Nei,Nei,Lørdag
2017-02-26,Ålgård skole,Nei,Nei,Søndag
2017-02-27,Ålgård skole,Nei,Ja,Vinterferie
2017-02-28,Ålgård skole,Nei,Ja,Vinterferie
2017-03-01,Ålgård skole,Nei,Ja,Vinterferie
2017-03-02,Ålgård skole,Nei,Ja,Vinterferie
2017-03-03,Ålgård skole,Nei,Ja,Vinterferie
2017-03-04,Ålgård skole,Nei,Nei,Lørdag
2017-03-05,Ålgård skole,Nei,Nei,Søndag
2017-03-06,Ålgård skole,Ja,Ja,
2017-03-07,Ålgård skole,Ja,Ja,
2017-03-08,Ålgård skole,Ja,Ja,
2017-03-09,Ålgård skole,Ja,Ja,
2017-03-10,Ålgård skole,Ja,Ja,
2017-03-11,Ålgård skole,Nei,Nei,Lørdag
2017-03-12,Ålgård skole,Nei,Nei,Søndag
2017-03-13,Ålgård skole,Ja,Ja,
2017-03-14,Ålgård skole,Ja,Ja,
2017-03-15,Ålgård skole,Ja,Ja,
2017-03-16,Ålgård skole,Ja,Ja,
2017-03-17,Ålgård skole,Ja,Ja,
2017-03-18,Ålgård skole,Nei,Nei,Lørdag
2017-03-19,Ålgård skole,Nei,Nei,Søndag
2017-03-20,Ålgård skole,Ja,Ja,
2017-03-21,Ålgård skole,Ja,Ja,
2017-03-22,Ålgård skole,Ja,Ja,
2017-03-23,Ålgård skole,Ja,Ja,
2017-03-24,Ålgård skole,Ja,Ja,
2017-03-25,Ålgård skole,Nei,Nei,Lørdag
2017-03-26,Ålgård skole,Nei,Nei,Søndag
2017-03-27,Ålgård skole,Ja,Ja,
2017-03-28,Ålgård skole,Ja,Ja,
2017-03-29,Ålgård skole,Ja,Ja,
2017-03-30,Ålgård skole,Ja,Ja,
2017-03-31,Ålgård skole,Ja,Ja,
2017-04-01,Ålgård skole,Nei,Nei,Lørdag
2017-04-02,Ålgård skole,Nei,Nei,Søndag
2017-04-03,Ålgård skole,Ja,Ja,
2017-04-04,Ålgård skole,Ja,Ja,
2017-04-05,Ålgård skole,Ja,Ja,
2017-04-06,Ålgård skole,Ja,Ja,
2017-04-07,Ålgård skole,Ja,Ja,
2017-04-08,Ålgård skole,Nei,Nei,Lørdag
2017-04-09,Ålgård skole,Nei,Nei,Søndag
2017-04-10,Ålgård skole,Nei,Ja,Påskeferie
2017-04-11,Ålgård skole,Nei,Ja,
2017-04-12,Ålgård skole,Nei,nei,Påskeferie
2017-04-13,Ålgård skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-14,Ålgård skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-15,Ålgård skole,Nei,Nei,Lørdag
2017-04-16,Ålgård skole,Nei,Nei,Søndag
2017-04-17,Ålgård skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-18,Ålgård skole,Nei,Ja,Påskeferie
2017-04-19,Ålgård skole,Ja,Ja,
2017-04-20,Ålgård skole,Ja,Ja,
2017-04-21,Ålgård skole,Ja,Ja,
2017-04-22,Ålgård skole,Nei,Nei,Lørdag
2017-04-23,Ålgård skole,Nei,Nei,Søndag
2017-04-24,Ålgård skole,Ja,Ja,
2017-04-25,Ålgård skole,Ja,Ja,
2017-04-26,Ålgård skole,Ja,Ja,
2017-04-27,Ålgård skole,Ja,Ja,
2017-04-28,Ålgård skole,Ja,Ja,
2017-04-29,Ålgård skole,Nei,Nei,Lørdag
2017-04-30,Ålgård skole,Nei,Nei,Søndag
2017-05-01,Ålgård skole,Nei,Nei,Off.fridag 
2017-05-02,Ålgård skole,Ja,Ja,
2017-05-03,Ålgård skole,Ja,Ja,
2017-05-04,Ålgård skole,Ja,Ja,
2017-05-05,Ålgård skole,Ja,Ja,
2017-05-06,Ålgård skole,Nei,Nei,Lørdag
2017-05-07,Ålgård skole,Nei,Nei,Søndag
2017-05-08,Ålgård skole,Ja,Ja,
2017-05-09,Ålgård skole,Ja,Ja,
2017-05-10,Ålgård skole,Ja,Ja,
2017-05-11,Ålgård skole,Ja,Ja,
2017-05-12,Ålgård skole,Ja,Ja,
2017-05-13,Ålgård skole,Nei,Nei,Lørdag
2017-05-14,Ålgård skole,Nei,Nei,Søndag
2017-05-15,Ålgård skole,Ja,Ja,
2017-05-16,Ålgård skole,Ja,Ja,
2017-05-17,Ålgård skole,Nei,Nei,Grunnlovsdag 
2017-05-18,Ålgård skole,Ja,Ja,
2017-05-19,Ålgård skole,Ja,Ja,
2017-05-20,Ålgård skole,Nei,Nei,Lørdag
2017-05-21,Ålgård skole,Nei,Nei,Søndag
2017-05-22,Ålgård skole,Ja,Ja,
2017-05-23,Ålgård skole,Ja,Ja,
2017-05-24,Ålgård skole,Ja,Ja,
2017-05-25,Ålgård skole,Nei,Nei,Kr.H.f
2017-05-26,Ålgård skole,Nei,Ja,Fridag for elevene 
2017-05-27,Ålgård skole,Nei,Nei,Lørdag
2017-05-28,Ålgård skole,Nei,Nei,Søndag
2017-05-29,Ålgård skole,Ja,Ja,
2017-05-30,Ålgård skole,Ja,Ja,
2017-05-31,Ålgård skole,Ja,Ja,
2017-06-01,Ålgård skole,Ja,Ja,
2017-06-02,Ålgård skole,Ja,Ja,
2017-06-03,Ålgård skole,Nei,Nei,Lørdag
2017-06-04,Ålgård skole,Nei,Nei,Søndag
2017-06-05,Ålgård skole,Nei,Nei,2.pinsedag 
2017-06-06,Ålgård skole,Ja,Ja,
2017-06-07,Ålgård skole,Ja,Ja,
2017-06-08,Ålgård skole,Ja,Ja,
2017-06-09,Ålgård skole,Ja,Ja,
2017-06-10,Ålgård skole,Nei,Nei,Lørdag
2017-06-11,Ålgård skole,Nei,Nei,Søndag
2017-06-12,Ålgård skole,Ja,Ja,
2017-06-13,Ålgård skole,Ja,Ja,
2017-06-14,Ålgård skole,Ja,Ja,
2017-06-15,Ålgård skole,Ja,Ja,
2017-06-16,Ålgård skole,Ja,Ja,
2017-06-17,Ålgård skole,Nei,Nei,Lørdag
2017-06-18,Ålgård skole,Nei,Nei,Søndag
2017-06-19,Ålgård skole,Ja,Ja,
2017-06-20,Ålgård skole,Ja,Ja,
2017-06-21,Ålgård skole,Ja,Ja,
2017-06-22,Ålgård skole,Ja,Ja,Siste skoledag før Sommerferien 
2017-06-23,Ålgård skole,Nei,Ja,Sommerferie 
2017-06-24,Ålgård skole,Nei,Nei,Lørdag
2017-06-25,Ålgård skole,Nei,Nei,Søndag
2017-06-26,Ålgård skole,Nei,Ja,Sommerferie 
2017-06-27,Ålgård skole,Nei,Ja,Sommerferie 
2017-06-28,Ålgård skole,Nei,Ja,Sommerferie 
2017-06-29,Ålgård skole,Nei,Ja,Sommerferie 
2017-06-30,Ålgård skole,Nei,Ja,Sommerferie 
2017-07-01,Ålgård skole,Nei,Nei,Lørdag
2017-07-02,Ålgård skole,Nei,Nei,Søndag
2017-07-03,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-04,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-05,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-06,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-07,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-08,Ålgård skole,Nei,Nei,Lørdag
2017-07-09,Ålgård skole,Nei,Nei,Søndag
2017-07-10,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-11,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-12,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-13,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-14,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-15,Ålgård skole,Nei,Nei,Lørdag
2017-07-16,Ålgård skole,Nei,Nei,Søndag
2017-07-17,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-18,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-19,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-20,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-21,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-22,Ålgård skole,Nei,Nei,Lørdag
2017-07-23,Ålgård skole,Nei,Nei,Søndag
2017-07-24,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-25,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-26,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-27,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-28,Ålgård skole,Nei,Nei,Sommerferie 
2017-07-29,Ålgård skole,Nei,Nei,Lørdag
2017-07-30,Ålgård skole,Nei,Nei,Søndag
2017-07-31,Ålgård skole,Nei,Nei,Sommerferie 
