dato,skole,elevdag,laererdag,sfodag,kommentar
2017-03-16,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-17,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-18,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-03-19,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-03-20,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-21,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-22,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-23,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-24,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-25,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-03-26,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-03-27,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-28,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-29,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-30,Charlottenlund ungdomsskole,ja,ja,ja,
2017-03-31,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-01,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-04-02,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-04-03,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-04,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-05,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-06,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-07,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-08,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-04-09,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-04-10,Charlottenlund ungdomsskole,nei,nei,nei,Påskeferie
2017-04-11,Charlottenlund ungdomsskole,nei,nei,nei,Påskeferie
2017-04-12,Charlottenlund ungdomsskole,nei,nei,nei,Påskeferie
2017-04-13,Charlottenlund ungdomsskole,nei,nei,nei,Påskeferie
2017-04-14,Charlottenlund ungdomsskole,nei,nei,nei,Påskeferie
2017-04-15,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-04-16,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-04-17,Charlottenlund ungdomsskole,nei,nei,nei,2. Påskedag
2017-04-18,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-19,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-20,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-21,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-22,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-04-23,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-04-24,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-25,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-26,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-27,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-28,Charlottenlund ungdomsskole,ja,ja,ja,
2017-04-29,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-04-30,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-05-01,Charlottenlund ungdomsskole,nei,nei,nei,1 mai
2017-05-02,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-03,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-04,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-05,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-06,Charlottenlund ungdomsskole,nei,nei,nei,Lørdag
2017-05-07,Charlottenlund ungdomsskole,nei,nei,nei,Søndag 
2017-05-08,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-09,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-10,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-11,Charlottenlund ungdomsskole,ja,ja,ja,
2017-05-12,Charlottenlund ungdomsskole,ja,ja,ja,
