dato,skole,elevdag,laererdag,sfodag,kommentar,,,,,,
18-09-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
19-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
20-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
21-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
22-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
23-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
24-09-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
25-09-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
26-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
27-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
28-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
29-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
30-09-16,Austbø skole,Ja,Ja,Nei,,,,,,,
01-10-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
02-10-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
03-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
04-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
05-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
06-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
07-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
08-10-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
09-10-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
10-10-16,Austbø skole,Nei,Nei,Nei,Høstferie,,,,,,
11-10-16,Austbø skole,Nei,Nei,Nei,Høstferie,,,,,,
12-10-16,Austbø skole,Nei,Nei,Nei,Høstferie,,,,,,
13-10-16,Austbø skole,Nei,Nei,Nei,Høstferie,,,,,,
14-10-16,Austbø skole,Nei,Nei,Nei,Høstferie,,,,,,
15-10-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
16-10-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
17-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
18-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
19-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
20-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
21-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
22-10-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
23-10-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
24-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
25-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
26-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
27-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
28-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
29-10-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
30-10-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
31-10-16,Austbø skole,Ja,Ja,Nei,,,,,,,
01-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
02-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
03-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
04-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
05-11-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
06-11-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
07-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
08-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
09-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
10-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
11-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
12-11-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
13-11-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
14-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
15-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
16-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
17-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
18-11-16,Austbø skole,Nei,Ja,Nei,Planleggingsdag,,,,,,
19-11-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
20-11-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
21-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
22-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
23-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
24-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
25-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
26-11-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
27-11-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
28-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
29-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
30-11-16,Austbø skole,Ja,Ja,Nei,,,,,,,
01-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
02-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
03-12-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
04-12-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
05-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
06-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
07-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
08-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
09-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
10-12-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
11-12-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
12-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
13-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
14-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
15-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
16-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
17-12-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
18-12-16,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
19-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
20-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
21-12-16,Austbø skole,Ja,Ja,Nei,,,,,,,
22-12-16,Austbø skole,Nei,Nei,Nei,Juleferie,,,,,,
23-12-16,Austbø skole,Nei,Nei,Nei,Juleferie,,,,,,
24-12-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
25-12-16,Austbø skole,Nei,Nei,Nei,1. juledag,,,,,,
26-12-16,Austbø skole,Nei,Nei,Nei,2. juledag,,,,,,
27-12-16,Austbø skole,Nei,Nei,Nei,Juleferie,,,,,,
28-12-16,Austbø skole,Nei,Nei,Nei,Juleferie,,,,,,
29-12-16,Austbø skole,Nei,Nei,Nei,Juleferie,,,,,,
30-12-16,Austbø skole,Nei,Nei,Nei,Juleferie,,,,,,
31-12-16,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
01-01-17,Austbø skole,Nei,Nei,Nei,1. Nyttårsdag,,,,,,
02-01-17,Austbø skole,Nei,Nei,Nei,Planleggingsdag,,,,,,
03-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
04-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
05-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
06-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
07-01-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
08-01-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
09-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
10-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
11-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
12-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
13-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
14-01-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
15-01-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
16-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
17-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
18-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
19-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
20-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
21-01-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
22-01-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
23-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
24-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
25-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
26-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
27-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
28-01-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
29-01-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
30-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
31-01-17,Austbø skole,Ja,Ja,Nei,,,,,,,
01-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
02-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
03-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
04-02-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
05-02-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
06-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
07-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
08-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
09-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
10-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
11-02-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
12-02-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
13-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
14-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
15-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
16-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
17-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
18-02-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
19-02-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
20-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
21-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
22-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
23-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
24-02-17,Austbø skole,Ja,Ja,Nei,,,,,,,
25-02-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
26-02-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
27-02-17,Austbø skole,Nei,Nei,Nei,Vinterferie,,,,,,
28-02-17,Austbø skole,Nei,Nei,Nei,Vinterferie,,,,,,
01-03-17,Austbø skole,Nei,Nei,Nei,Vinterferie,,,,,,
02-03-17,Austbø skole,Nei,Nei,Nei,Vinterferie,,,,,,
03-03-17,Austbø skole,Nei,Nei,Nei,Vinterferie,,,,,,
04-03-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
05-03-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
06-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
07-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
08-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
09-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
10-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
11-03-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
12-03-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
13-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
14-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
15-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
16-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
17-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
18-03-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
19-03-17,Austbø skole,Nei,Nei,Nei,Søndag,,,,,,
20-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
21-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
22-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
23-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
24-03-17,Austbø skole,Ja,Ja,Nei,,,,,,,
25-03-17,Austbø skole,Nei,Nei,Nei,Lørdag,,,,,,
